Source,Target,Value
poltopf_passport_001,motor_passport_001 PCF,0.79
clamps_passport_001,motor_passport_001 PCF,0.16
magnethalves_passport_001,motor_passport_001 PCF,1.26
plasticpart_passport_001,motor_passport_001 PCF,0.1
anchor_passport_001,motor_passport_001 PCF,0.31
ringmagnet_passport_001,motor_passport_001 PCF,0.09
brushcarrier_passport_001,motor_passport_001 PCF,1.07
housingea_passport_001,motor_passport_001 PCF,4.99
wormwheel_passport_001,motor_passport_001 PCF,0.19
screws_passport_001,motor_passport_001 PCF,0.16
housingeb_passport_001,motor_passport_001 PCF,4.28
geara_passport_001,motor_passport_001 PCF,2.49
gearb_passport_001,motor_passport_001 PCF,2.49
grease_passport_001,motor_passport_001 PCF,0.1
OEM,motor_passport_001 PCF,3.1438140906403156
poltopf_passport_001,motor_passport_001 TCF,0.1
clamps_passport_001,motor_passport_001 TCF,0.2
magnethalves_passport_001,motor_passport_001 TCF,0.2
plasticpart_passport_001,motor_passport_001 TCF,0.1
anchor_passport_001,motor_passport_001 TCF,0.1
ringmagnet_passport_001,motor_passport_001 TCF,0.1
brushcarrier_passport_001,motor_passport_001 TCF,0.1
housingea_passport_001,motor_passport_001 TCF,0.1
wormwheel_passport_001,motor_passport_001 TCF,0.1
screws_passport_001,motor_passport_001 TCF,0.4
housingeb_passport_001,motor_passport_001 TCF,0.1
geara_passport_001,motor_passport_001 TCF,0.1
gearb_passport_001,motor_passport_001 TCF,0.1
grease_passport_001,motor_passport_001 TCF,0.1
OEM,motor_passport_001 TCF,0.3302969082959959
